disease_accession:ID(Disease),disease_id,disease_acronym,disease_description,disease_xref_db,disease_xref_id,association_source,:LABEL
SYN:loss-of-the-extracellular-domain-causes-constitutive-activation-of-the-notch-pro,"Loss of the extracellular domain causes constitutive activation of the Notch protein, which leads to hyperproliferation of glandular epithelial tissues and development of mammary carcinomas",,"Loss of the extracellular domain causes constitutive activation of the Notch protein, which leads to hyperproliferation of glandular epithelial tissues and development of mammary carcinomas",,,UniProt,Disease
SYN:little-lit-mice-exhibits-anterior-pituitary-hypoplasia,Little (lit) mice exhibits anterior pituitary hypoplasia,,Little (lit) mice exhibits anterior pituitary hypoplasia,,,UniProt,Disease
SYN:developmental-defects-of-the-kidney-brain-ear-and-eye,"developmental defects of the kidney, brain, ear and eye",,"Defects in Pax2 are a cause of developmental defects of the kidney, brain, ear and eye",,,UniProt,Disease
SYN:the-open-brain-phenotype,the open brain phenotype,,"Defects in Rab23 are the cause of the open brain phenotype. Mice suffer from exencephaly and severe malformations of the spinal cord and the dorsal root ganglia, leading to complete embryonic lethality. In addition, mice display poorly developed eyes and polydactyly",,,UniProt,Disease
SYN:histidinemia-his,histidinemia (His),,Defects in Hal are the cause of histidinemia (His),,,UniProt,Disease
SYN:murine-x-linked-immunodeficiency-xid,murine X-linked immunodeficiency (XID),,Defects in Btk are the cause of murine X-linked immunodeficiency (XID),,,UniProt,Disease
SYN:generalized-lymphoproliferation-disease-phenotype-gld,generalized lymphoproliferation disease phenotype (gld),,A deficiency in this protein is the cause of generalized lymphoproliferation disease phenotype (gld). Gld mice present lymphadenopathy and autoantibody production. The phenotype is recessively inherited,,,UniProt,Disease
SYN:profound-obesity-and-type-ii-diabetes,profound obesity and type II diabetes,,Defects in Lep are the cause of profound obesity and type II diabetes,,,UniProt,Disease
SYN:brachypodism-bp-which-alters-the-length-and-numbers-of-bones-in-the-limbs-but-sp,brachypodism (bp) which alters the length and numbers of bones in the limbs but spares the axial skeleton,,Defects in Gdf5 are the cause of brachypodism (bp) which alters the length and numbers of bones in the limbs but spares the axial skeleton,,,UniProt,Disease
SYN:the-ragged-ragged-like-and-opossum-phenotypes-pubmed-10742113-pubmed-12748961-pu,"the ragged, ragged-like and opossum phenotypes (PubMed:10742113, PubMed:12748961, PubMed:18931657, PubMed:19429912)",,"Defects in this protein are the cause of the ragged, ragged-like and opossum phenotypes (PubMed:10742113, PubMed:12748961, PubMed:18931657, PubMed:19429912). In all these, missense mutations give rise to a truncated protein that retains DNA-binding ability, but lacks regions required for transcription activation (PubMed:10742113, PubMed:12748961). Homozygous ragged and ragged-like mice are almost completely naked, display prenatal edema and frequently die in utero or shortly after birth. Heterozygous ragged and ragged-like mice are mostly viable, but have a thin, ragged coat (PubMed:12748961). Homozygous opossum mice display no visible phenotype up to 11.5 dpc (PubMed:19429912). From 12.5 dpc onwards, mutant embryos display enlarged surface microvasculature and severe subcutaneaous edema, followed by vascular rupture and hemorrhage beginning at 13.5 dpc (PubMed:18931657, PubMed:19429912). All die shortly after 14.5 dpc (PubMed:12748961, PubMed:18931657, PubMed:19429912). Heterozygous opossum mice are almost completely naked, display prenatal edema and frequently die in utero or shortly after birth (PubMed:12748961). Heterozygous opossum mice display defects in development and patterning of the lymph vessels (PubMed:18931657)",,,UniProt,Disease
SYN:may-contribute-to-the-development-of-diet-induced-obesity-and-several-obesity-as,"May contribute to the development of diet-induced obesity and several obesity-associated features, such as dyslipidemia and liver steatosis, regulating peripheral lipogenesis, energy expenditure and f",,"May contribute to the development of diet-induced obesity and several obesity-associated features, such as dyslipidemia and liver steatosis, regulating peripheral lipogenesis, energy expenditure and feeding behavior. In the liver, mediates cannabinoid-induced de novo lipogenesis and reduces fatty acid catabolism (PubMed:15864349, PubMed:21987372). In muscles, affects energy expenditure through mitochondrial metabolism (PubMed:22841573, PubMed:26671069). Induces leptin production by adipocytes and reduces LRP2-mediated leptin clearance in the kidney. The resulting hyperleptinemia causes resistance to the anorexic and weight-reducing effects of leptin (PubMed:22841573). In response to cannabinoids, drives the release of orexigenic beta-endorphin from hypothalamic POMC neurons, hence promoting food intake (PubMed:25707796). The use of peripherally-restricted inverse agonists in diet-induced obese mice reduces appetite, body weight, hepatic steatosis, and insulin resistance (PubMed:22841573)",,,UniProt,Disease
SYN:hyt-hyt-hypothyroidism-an-autosomal-recessive-fetal-onset-severe-hypothyroidism-,"hyt/hyt hypothyroidism, an autosomal recessive, fetal-onset, severe hypothyroidism related to TSH hyporesponsiveness and associated with elevated TSH",,"Defects in Tshr are the cause of hyt/hyt hypothyroidism, an autosomal recessive, fetal-onset, severe hypothyroidism related to TSH hyporesponsiveness and associated with elevated TSH",,,UniProt,Disease
SYN:muscle-rigidity-tremors-myoclonic-jerks-pronounced-startle-reaction-abnormal-gai,"muscle rigidity, tremors, myoclonic jerks, pronounced startle reaction, abnormal gait and impaired righting ability (PubMed:7920630)",,"Defects in Glrb cause the spastic condition which is characterized by muscle rigidity, tremors, myoclonic jerks, pronounced startle reaction, abnormal gait and impaired righting ability (PubMed:7920630). Neurons from the ventral horn of the spinal cord display reduced inhibitory postsynaptic currents (PubMed:12809985). Likewise, hypoglossal neurons display a dramatic reduction in the frequency and amplitude of postsynaptic inhibitory currents (PubMed:16672662)",,,UniProt,Disease
SYN:the-weaver-wv-phenotype,the weaver (wv) phenotype,,"Defects in Kcnj6 are the cause of the weaver (wv) phenotype. Homozygous animals suffer from severe ataxia that is obvious by about the second postnatal week. The cerebellum of these animals is drastically reduced in size due to depletion of the major cell type of cerebellum, the granule cell neuron. Heterozygous animals are not ataxic but have an intermediate number of surviving granule cells. Male homozygotes are sterile, because of complete failure of sperm production. Both hetero- and homozygous animals undergo sporadic tonic-clonic seizures",,,UniProt,Disease
SYN:microcytic-anemia-mk,microcytic anemia (mk),,Defects in Slc11a2 are the cause of microcytic anemia (mk). Homozygous mk/mk mice have hypochromic microcytic anemia due to severe defects in intestinal iron absorption and erythroid iron utilization,,,UniProt,Disease
SYN:tyrosinemia-type-iii,tyrosinemia type III,,Defects in Hpd are the cause of tyrosinemia type III,,,UniProt,Disease
SYN:maturity-onset-obesity-insulin-resistance-and-sensory-deficits,"maturity-onset obesity, insulin resistance and sensory deficits",,"Defects in Tub are the cause of maturity-onset obesity, insulin resistance and sensory deficits",,,UniProt,Disease
SYN:autosomal-dominant-cataract,autosomal dominant cataract,,Defects in Mip are a cause of autosomal dominant cataract. The cataract Fraser mutation (Cat-Fr or Shrivelled) is a transposon-induced splicing error that substitutes a long terminal repeat sequence for the C-terminus of Mip. The lens opacity mutation (LOP) is an AA substitution that inhibits targeting of Mip to the cell-membrane,,,UniProt,Disease
SYN:the-staggerer-sg-mutant-phenotype-which-is-characterized-by-disturbance-of-purki,the staggerer (SG) mutant phenotype which is characterized by disturbance of Purkinje cell development and immune system functioning,,"Defects in Rora are the cause of the staggerer (SG) mutant phenotype which is characterized by disturbance of Purkinje cell development and immune system functioning. This phenotype exhibits lower body weight, reduced adiposity, decreased plasma cholesterol, triglyceride and apolipoprotein CIII levels, and is resistant to diet-induced obesity. Also has abnormal circadian rhythms",,,UniProt,Disease
SYN:the-vibrator-phenotype-which-is-characterized-by-early-onset-progressive-action-,"the vibrator phenotype which is characterized by early-onset progressive action tremor, degeneration of brain stem and spinal cord neurons, and juvenile death",,"Defects in Pitpna are the cause of the vibrator phenotype which is characterized by early-onset progressive action tremor, degeneration of brain stem and spinal cord neurons, and juvenile death. The mutation is due to the insertion of an intracisternal A particle retrotransposon in intron 4 which results in a 5-fold reduction in protein levels",,,UniProt,Disease
SYN:the-twitcher-phenotype-an-autosomal-recessive-leukodystrophy-similar-to-the-huma,the 'twitcher' phenotype; an autosomal recessive leukodystrophy similar to the human disease (Krabbe disease),,Defects in Galc are the cause of the 'twitcher' phenotype; an autosomal recessive leukodystrophy similar to the human disease (Krabbe disease). This deficiency results in the insufficient catabolism of several galactolipids that are important in the production of normal myelin,,,UniProt,Disease
SYN:this-protein-is-the-major-protein-stored-in-the-storage-bodies-of-animals-or-hum,This protein is the major protein stored in the storage bodies of animals or humans affected with ceroid lipofuscinosis (Batten disease),,This protein is the major protein stored in the storage bodies of animals or humans affected with ceroid lipofuscinosis (Batten disease),,,UniProt,Disease
SYN:congenital-progressive-hydronephrosis-cph,congenital progressive hydronephrosis (cph),,"Defects in Aqp2 are a cause of congenital progressive hydronephrosis (cph). Homozygous mice appear grossly normal at birth, but grow slowly, and 90% die between 2 and 4 weeks after birth. They display symptoms reminiscent of diabetes insipidus, with excessive water drinking (polydipsia), excessive urine excretion (polyuria), and persistent hypotonic urine. When older than 14 days, they nearly always display severe bilateral hydronephrosis resulting from impaired downward urine transport, in spite of the absence of physical blockage of the urinary tract. Surviving adults have a shortened lifespan and die at the latest at an age of 10 months. They display reduced fertility or are infertile",,,UniProt,Disease
SYN:severe-fetal-anemia-and-of-perinatal-lethality-due-to-malformation-of-the-diaphr,severe fetal anemia and of perinatal lethality due to malformation of the diaphragm,,Absence of Dnase2 is a cause of severe fetal anemia and of perinatal lethality due to malformation of the diaphragm,,,UniProt,Disease
SYN:the-cataractous-mouse-mutant-with-total-opacity-of-lens-3-to3,the cataractous mouse mutant with total opacity of lens 3 (To3),,"Defects in Lim2 are the cause of the cataractous mouse mutant with total opacity of lens 3 (To3). Mice heterozygous or homozygous for the To3 mutation have total opacity of the lens with a dense cataract. In addition, the To3/To3 homozygotes exhibit microphthalmia, abnormally small eyes",,,UniProt,Disease
SYN:the-uw-dbr-phenotype-that-results-in-loss-of-nearly-all-pigmentation-in-the-homo,the UW-dbr phenotype that results in loss of nearly all pigmentation in the homozygous state,,Defects in Slc45a2 are the cause of the UW-dbr phenotype that results in loss of nearly all pigmentation in the homozygous state,,,UniProt,Disease
SYN:hermansky-pudlak-like-syndrome-a-syndrome-characterized-by-hypopigmented-eyes-an,"Hermansky-Pudlak-like syndrome, a syndrome characterized by hypopigmented eyes and coat, melanosomes greatly reduced in number and morphologically bizarre, kidney proximal tubules secreting lysosomal ",,"Defects in Hps5 are the cause of Hermansky-Pudlak-like syndrome, a syndrome characterized by hypopigmented eyes and coat, melanosomes greatly reduced in number and morphologically bizarre, kidney proximal tubules secreting lysosomal enzymes into urine at greatly reduced rates, platelet dense granules deficient in critical components, such as serotonin and adenine nucleotides, leading to functionally abnormal platelets and prolonged bleeding times, and mast cell granules undergoing unregulated 'kiss-and-run' fusion at the plasma membrane",,,UniProt,Disease
SYN:the-belted-bt-phenotype,the belted (bt) phenotype,,Defects in Adamts20 are the cause of the belted (bt) phenotype. It is a pigmental defect which occurs as a result of a defect in melanocyte development,,,UniProt,Disease
SYN:the-dysmyelinating-diseases-jimpy-and-rumpshaker-rsh,the dysmyelinating diseases Jimpy and Rumpshaker (rsh),,Defects in Plp1 are the cause of the dysmyelinating diseases Jimpy and Rumpshaker (rsh),,,UniProt,Disease
SYN:eif3e-serves-as-a-site-for-viral-integration-of-mouse-mammary-tumor-virus-mmtv-i,EIF3E serves as a site for viral integration of mouse mammary tumor virus (MMTV) in mammary tumors,,EIF3E serves as a site for viral integration of mouse mammary tumor virus (MMTV) in mammary tumors. MMTV integration into EIF3E can result in EIF3E truncation and expression of chimeric RNA species which terminate at a cryptic transcription stop signal in the reverse U3 portion of the MMTV long terminal repeat. This causes deregulation of the normal control of mammary epithelial cell growth,,,UniProt,Disease
SYN:a-condition-known-as-small-eye-sey-which-results-in-the-complete-lack-of-eyes-an,a condition known as small eye (Sey) which results in the complete lack of eyes and nasal primordia,,Defects in Pax6 are the cause of a condition known as small eye (Sey) which results in the complete lack of eyes and nasal primordia,,,UniProt,Disease
SYN:a-number-of-skeletal-overgrowth-phenotypes-longjohn-lgj-longjohn-2j-lgj-2j-and-s,"a number of skeletal-overgrowth phenotypes, Longjohn (Lgj), Longjohn-2J (Lgj-2J) and Strigosus (Stri)",,"Defects in Npr3 are the cause of a number of skeletal-overgrowth phenotypes, Longjohn (Lgj), Longjohn-2J (Lgj-2J) and Strigosus (Stri). These are all recessive conditions characterized by an elongated body, thoracic kyphosis, arachnodactyly, and sacral and/or tail kinks, but no significant changes in craniofacial structures (PubMed:10468599)",,,UniProt,Disease
SYN:tattered-td-which-is-an-x-linked-semidominant-mouse-mutation-associated-with-pre,"'Tattered' (Td) which is an X-linked, semidominant mouse mutation associated with prenatal male lethality",,"Defects in Ebp are a cause of 'Tattered' (Td) which is an X-linked, semidominant mouse mutation associated with prenatal male lethality. Heterozygous females are small and at 4 to 5 days of age develop patches of hyperkeratotic skin where no hair grows, resulting in a striping of the coat in adults. Craniofacial anomalies and twisted toes have also been observed in some affected females",,,UniProt,Disease
SYN:activation-contributes-to-progression-of-mouse-t-cell-lymphomas-pubmed-9034327,Activation contributes to progression of mouse T-cell lymphomas (PubMed:9034327),,Activation contributes to progression of mouse T-cell lymphomas (PubMed:9034327),,,UniProt,Disease
SYN:the-nob-no-b-wave-phenotype-which-is-characterized-by-a-decreased-sensitivity-to,the nob (no b-wave) phenotype which is characterized by a decreased sensitivity to light and an absence of the rod b-wave in electroretinograms,,Defects in Nyx are the cause of the nob (no b-wave) phenotype which is characterized by a decreased sensitivity to light and an absence of the rod b-wave in electroretinograms. An 85-bp deletion in exon 3 results in the loss of 288 residues from the C-terminus of the protein,,,UniProt,Disease
SYN:mice-carrying-an-autosomal-recessive-mutation-designated-paucity-of-lymph-node-t,"Mice carrying an autosomal recessive mutation designated paucity of lymph node T-cells (plt) show dramatically reduced numbers of T-cells in lymph nodes, Peyer patches, and the white pulp of the splee",,"Mice carrying an autosomal recessive mutation designated paucity of lymph node T-cells (plt) show dramatically reduced numbers of T-cells in lymph nodes, Peyer patches, and the white pulp of the spleen. Plt seems to correspond to Scya21b",,,UniProt,Disease
SYN:severe-combined-immune-deficiency-scid-which-is-characterized-by-a-lack-of-matur,severe combined immune deficiency (SCID) which is characterized by a lack of mature functional lymphocytes and a high susceptibility to lethal opportunistic infections if not chronically treated with ,,Defects in Prkdc are the cause of severe combined immune deficiency (SCID) which is characterized by a lack of mature functional lymphocytes and a high susceptibility to lethal opportunistic infections if not chronically treated with antibiotics. The lack of B- and T-cell immunity resembles severe combined immunodeficiency syndrome in human infants,,,UniProt,Disease
SYN:beige-bg-an-autosomal-recessive-disorder-characterized-by-hypopigmentation-bleed,"beige (bg), an autosomal recessive disorder characterized by hypopigmentation, bleeding, immune cell dysfunction, abnormal intracellular transport to and from the lysosome, and giant inclusion bodies ",,"Defects in Lyst are the cause of beige (bg), an autosomal recessive disorder characterized by hypopigmentation, bleeding, immune cell dysfunction, abnormal intracellular transport to and from the lysosome, and giant inclusion bodies in a variety of cell types",,,UniProt,Disease
SYN:a-delayed-onset-recessive-neurological-disorder-seen-in-tottering-tg-mutants-res,"a delayed-onset, recessive neurological disorder seen in tottering (tg) mutants, resulting in ataxia, motor seizures and behavioral absence seizures resembling petit mal epilepsy (or absence epilepsy)",,"Defects in Cacna1a are the cause of a delayed-onset, recessive neurological disorder seen in tottering (tg) mutants, resulting in ataxia, motor seizures and behavioral absence seizures resembling petit mal epilepsy (or absence epilepsy) in humans. There are two more alleles, leaner (tg(lA)), that is characterized by severe ataxia and frequent death past weaning, but no motor seizures; and rolling Nagoya (tg(rol)), that presents an intermediary phenotype, the ataxia being somewhat more severe that with tg, but without motors seizures. Selective degeneration of cerebellar Purkinje cells has been shown for all these types of mutants. Selective degeneration of cerebellar Purkinje cells has been shown for all these types of mutants",,,UniProt,Disease
SYN:the-shaker-1-sh-1-phenotype-which-affects-only-the-inner-ear,the shaker-1 (sh-1) phenotype which affects only the inner ear,,"Defects in Myo7a are the cause of the shaker-1 (sh-1) phenotype which affects only the inner ear. Sh-1 homozygote mutants show hyperactivity, head tossing and circling due to vestibular dysfunction, together with typical neuroepithelial-type cochlear defects involving dysfunction and progressive degeneration of the organ of Corti",,,UniProt,Disease
SYN:circling-behavior-and-deafness-due-to-gross-morphological-abnormalities-of-the-i,"circling behavior and deafness, due to gross morphological abnormalities of the inner ear, and dysmorphic or missing kidneys",,"A spontaneous mutation leading to decreased Eya1 expression gives rise to the Eya1-bor phenotype. It is characterized by circling behavior and deafness, due to gross morphological abnormalities of the inner ear, and dysmorphic or missing kidneys. This autosomal recessive trait resembles human branchio-oto-renal (BOR) syndrome",,,UniProt,Disease
SYN:wabbler-lethal-wl-phenotype,Wabbler-lethal (wl) phenotype,,Defects in Atp8a2 are the cause of Wabbler-lethal (wl) phenotype. Homozygotes show severe neurological annormalities that include ataxia and body tremors linked to progressive axonal degeneration in several areas of the nervous system,,,UniProt,Disease
SYN:the-dwarf-dw-phenotype-which-interrupts-the-normal-development-of-the-anterior-p,"the dwarf (dw) phenotype which interrupts the normal development of the anterior pituitary gland, resulting in the loss of expression of growth hormone, prolactin and thyroid-stimulating hormone, and ",,"Defects in Pou1f1 are the cause of the dwarf (dw) phenotype which interrupts the normal development of the anterior pituitary gland, resulting in the loss of expression of growth hormone, prolactin and thyroid-stimulating hormone, and hypoplasia of their respective cell types",,,UniProt,Disease
SYN:defects-in-tcf7-may-allow-the-formation-of-epithelial-tumors,Defects in Tcf7 may allow the formation of epithelial tumors,,Defects in Tcf7 may allow the formation of epithelial tumors,,,UniProt,Disease
SYN:the-fat-phenotype,the fat phenotype,,Defects in Cpe are the cause of the fat phenotype. Mice homozygous for the fat mutation develop obesity and hyperglycemia that can be suppressed by treatment with exogenous insulin,,,UniProt,Disease
SYN:muscular-dysgenesis-mdg-a-lethal-autosomal-recessive-disorder-in-which-there-is-,"muscular dysgenesis (MDG), a lethal autosomal recessive disorder in which there is total lack of excitation-contraction coupling in homozygotes, and which results in complete skeletal muscle paralysis",,"Defects in Cacna1s are the cause of muscular dysgenesis (MDG), a lethal autosomal recessive disorder in which there is total lack of excitation-contraction coupling in homozygotes, and which results in complete skeletal muscle paralysis. A single nucleotide deletion yields a protein with an altered and truncated C-terminus",,,UniProt,Disease
SYN:mice-with-an-runx1-lacking-the-dna-binding-region-are-found-to-die-between-embry,Mice with an Runx1 lacking the DNA-binding region are found to die between embryonic days 11,,Mice with an Runx1 lacking the DNA-binding region are found to die between embryonic days 11.5 to 12.5 due to hemorrhaging in the central nervous system. This hemorrhaging is preceded by necrosis and hematopoiesis is blocked (PubMed:8622955),,,UniProt,Disease
SYN:the-neuronal-heterotopia-observed-in-heco-mice,the neuronal heterotopia observed in HeCo mice,,"Defects in Eml1 are the cause of the neuronal heterotopia observed in HeCo mice. These mice display heterotopic neurons in the rostro-medial part of the neocortex, together with epilepsy and subtle learning deficits in adults. At 17 dpc both Tbr1(+) and Cux1(+) neurons contribute to the heterotopia. Three days after birth, most Tbr1(+) have reached their final destination, but many Cux1(+) neurons remain in the heterotopia and fail to reach cortical layers II to IV, contrary to the situation in wild-type. Besides, progenitor cells continue to proliferate, resulting in large numbers of abnormally positioned actively proliferating cells during both early and late stages of corticogenesis. In HeCo mice, insertion of a retrotransposon into Eml1 leads to the absence of full-length Eml1 transcripts",,,UniProt,Disease
SYN:microphthalmia-mi-a-condition-characterized-by-loss-of-pigmentation-reduced-eye-,"microphthalmia (mi), a condition characterized by loss of pigmentation; reduced eye size; failure of secondary bone resorption; reduced numbers of mast cells; early onset of deafness, and which gives ",,"Defects in Mitf are the cause of microphthalmia (mi), a condition characterized by loss of pigmentation; reduced eye size; failure of secondary bone resorption; reduced numbers of mast cells; early onset of deafness, and which gives rise to a number of different phenotypes. Among them, microphthalmia-eyeless white (mi-ew) has a normal appearance at the heterozygous state, but shows white coat; eyes almost absent and eyelids never open at homozygosity. Microphthalmia-black and white spot (mi-bws) is normal at heterozygosity, and presents white spots and black eyes at homozygous state. Microphthalmia-white (mi-wh) has reduced coat color and eye pigmentation; spots on toes, tail and belly; inner ear defects at heterozygosity, and at homozygosity shows white coat; eyes small and inner iris slightly pigmented; spinal ganglia, adrenal medulla and dermis smaller than normal, and inner ear defects. Microphthalmia-vitiligo (mi-vi) has normal phenotype at heterozygosity, but shows gradual depigmentation of coat, skin and eyes; and retinal degeneration at homozygosity. Microphthalmia-spotted (mi-sp) shows normal phenotype; at homozygosity, however, tyrosinase activity in skin is reduced. Microphthalmia-defective irism (mi-di) has reduced retinal pigmentation at heterozygosity and shows white coat; eyes of reduced sized and possible mild osteoporosis at homozygosity. Microphthalmia-cloudy eyed (mi-ce) has a normal appearance at the heterozygous state, but shows white coat; eyes of reduced size and unpigmented at homozygosity. Microphthalmia-red-eyed white (mi-rw) has a normal appearance at the homozygous state, but shows white coat with one or more pigmented spots around the head/and or tail; eyes are small and red at heterozygosity. Microphthalmia-black-eyed white (mi-bw) shows a white coat but normal sized eyes which reamin black at homozygosity",,,UniProt,Disease
SYN:defects-in-fscn2-lead-to-hair-cell-degeneration-in-the-inner-ear-and-are-a-key-c,"Defects in Fscn2 lead to hair-cell degeneration in the inner ear and are a key contributor to the early-onset, age-related hearing loss (prebycusis) phenotype when in combination with waltzer cadherin",,"Defects in Fscn2 lead to hair-cell degeneration in the inner ear and are a key contributor to the early-onset, age-related hearing loss (prebycusis) phenotype when in combination with waltzer cadherin 23 mutant",,,UniProt,Disease
SYN:ichthyosis-bullosa-of-siemens-ibs,ichthyosis bullosa of siemens (IBS),,Defects in Krt2 are a cause of ichthyosis bullosa of siemens (IBS). IBS is a rare autosomal dominant disorder displaying a type of epidermolytic hyperkeratosis characterized by extensive blistering from birth. Hyperkeratoses and shedding of the outer layers of the epidermis (molting) are observed in later weeks,,,UniProt,Disease
SYN:combined-lipase-deficiency-cld,combined lipase deficiency (cld),,"Defects in Lmf1 are the cause of combined lipase deficiency (cld). Cld is characterized by severe hypertriglyceridemia with accumulation of chylomicrons that gradually pack the lumina of capillaries and sinusoids. Severe hypertriglyceridemia causes an increase in blood viscosity, ischemia, and cyanosis, and the inability of tissues to access circulating triglycerides results in starvation, poor thermoregulation, and death 2 to 3 days after birth. The disorder is caused by a decrease in the activity of lipoprotein lipase (Lpl) and the related hepatic lipase (Lipc), caused by impaired maturation of nascent Lpl and hepatic lipase polypeptides in the endoplasmic reticulum",,,UniProt,Disease
SYN:glioblastoma-genesis,glioblastoma genesis,,"Plays an important role in the tumorigenicity of glioblastoma cells. TET1-mediated production of 5hmC acts as a recruitment signal for the CHTOP-methylosome complex to selective sites on the chromosome, where it methylates H4R3 and activates the transcription of genes involved in glioblastoma genesis",,,UniProt,Disease
SYN:the-curly-whiskers-phenotype-cw,the curly whiskers phenotype (cw),,"Defects in HEPHL1 are the cause of the curly whiskers phenotype (cw). Curly whiskers mice carry a recessive mutation that alters splicing and causes omission of exon 11 from the mature transcript. The cw phenotype is characterized by kinky, brittle vibrissae",,,UniProt,Disease
SYN:rough-coat-rc-phenotype-an-autosomal-recessive-mutation-arose-spontaneously-in-c,"rough coat (rc) phenotype, an autosomal-recessive mutation, arose spontaneously in C57BL/6J mice",,"Defects in Mpzl3 are the cause of rough coat (rc) phenotype, an autosomal-recessive mutation, arose spontaneously in C57BL/6J mice. Rc mice develop severe skin and hair abnormalities, including cyclic and progressive hair loss and sebaceous gland hypertrophy",,,UniProt,Disease
SYN:the-hurry-scurry-hscy-phenotype-which-is-characterized-by-rapid-circling-behavio,"the hurry-scurry (hscy) phenotype which is characterized by rapid circling behavior, frequent shaking of head from side to side, deafness and vestibular dysfunction",,"Defects in Lhfpl5 are the cause of the hurry-scurry (hscy) phenotype which is characterized by rapid circling behavior, frequent shaking of head from side to side, deafness and vestibular dysfunction",,,UniProt,Disease
SYN:the-runty-jerky-sterile-phenotype-rjs-also-known-as-the-juvenile-development-and,"the runty, jerky, sterile phenotype (rjs), also known as the juvenile development and fertility phenotype (jfd2), which is characterized by reduced size, jerky gait, fertility problems including sperm",,"Defects in Herc2 are the cause of the runty, jerky, sterile phenotype (rjs), also known as the juvenile development and fertility phenotype (jfd2), which is characterized by reduced size, jerky gait, fertility problems including spermatocyte and oocyte abnormalities, defective maternal behavior and reduced lifespan with juvenile lethality",,,UniProt,Disease
SYN:the-pirouette-pi-phenotype-which-is-characterized-by-vestibular-defects-and-prof,the pirouette (pi) phenotype which is characterized by vestibular defects and profound deafness with affected mice displaying abnormally thin and slightly shortened sterocilia,,Defects in Grxcr1 are the cause of the pirouette (pi) phenotype which is characterized by vestibular defects and profound deafness with affected mice displaying abnormally thin and slightly shortened sterocilia,,,UniProt,Disease
SYN:increased-expression-of-zc3h12a-is-associated-with-ischemic-heart-disease-pubmed,Increased expression of ZC3H12A is associated with ischemic heart disease (PubMed:16574901),,Increased expression of ZC3H12A is associated with ischemic heart disease (PubMed:16574901),,,UniProt,Disease
SYN:adrenocortical-dysplasia-acd,adrenocortical dysplasia (ACD),,"Defects in Acd are the cause of adrenocortical dysplasia (ACD). ACD is a spontaneous autosomal recessive mouse mutant resulting from spontaneous splicing mutation of acd. ACD mice are characterized by developmental defects in organs derived from the urogenital ridge, reduced survival, poor growth, skin hyperpigmentation and adrenal insufficiency. Forty percent of the mutants died within 24 hours. Analysis of 14.5 dpc to 17.5 dpc embryos revealed reduced formation of caudal structure as well as limb defects",,,UniProt,Disease
SYN:the-waved-3-phenotype-wa3,the waved 3 phenotype (wa3),,"A recessive 14-bp deletion, which gives rise to a truncated protein, is the cause of the waved 3 phenotype (wa3). Wa3 mice have open eyes at birth, a wavy coat, and abnormalities of the heart and skin. They develop focal cardiac necrosis at an early age which progresses to fatal dilated cardiomyopathy (PubMed:15661756). Higher expression of pro-inflammatory cytokines is observed in the heart of wa3 mice compared to controls (PubMed:28069640)",,,UniProt,Disease
SYN:cone-rod-dysfunction,cone-rod dysfunction,,"Defects in Cacna2d4 are a cause of cone-rod dysfunction. Mice display affected retinal ribbon-type synapses. The retinopathy is accompanied by a substantial loss in the activities of the second-order neurons. Rod photoreceptor responses are maintained with reduced amplitude, whereas cone activities are absent",,,UniProt,Disease
SYN:primary-ciliary-dyskinesia-only-pcdo-phenotype,primary ciliary dyskinesia only (Pcdo) phenotype,,"Defects in Spag17 are the cause of primary ciliary dyskinesia only (Pcdo) phenotype. Mice are generally viable to adulthood but have a significantly shortened lifespan, with chronic morbidity. Show neonatal progressive hydrocephalus, accumulation of mucus in the respiratory passages and male infertility",,,UniProt,Disease
SYN:wobbler-phenotype-wr,wobbler phenotype (wr),,Defects in Vps54 are the cause of wobbler phenotype (wr). Wr is autosomal recessive and is a spontaneous mutation discovered almost 50 years ago. It causes spinal muscular atrophy and defective spermiogenesis,,,UniProt,Disease
SYN:the-truncate-tc-phenotype,the truncate (tc) phenotype,,"Defects in Noto are the cause of the truncate (tc) phenotype. Truncate (tc) is a recessive mutation that affects the development of the caudal notochord. Mice homozygous for tc are viable but viability is reduced, which is attributed at least in part to spinal injury in the sacral and lower lumbar region",,,UniProt,Disease
SYN:the-reduced-pigmentation-rp-mutation-phenotype-a-mouse-model-for-human-hermansky,"the reduced pigmentation (rp) mutation phenotype, a mouse model for human Hermansky-Pudlak syndrome (HPS)",,"Defects in Bloc1s3 are the cause of the reduced pigmentation (rp) mutation phenotype, a mouse model for human Hermansky-Pudlak syndrome (HPS). Rp mice are characterized by abnormal melanosomes and display altered expression levels of the proteins of the BLOC-1 complex",,,UniProt,Disease
SYN:activation-protects-mice-against-cholestasis-development-of-chronical-intestinal,"Activation protects mice against cholestasis, development of chronical intestinal inflammation and fibrosis",,"Activation protects mice against cholestasis, development of chronical intestinal inflammation and fibrosis. May suppress intestinal tumorigenesis",,,UniProt,Disease
SYN:murine-muscular-dystrophy-dy2j,murine muscular dystrophy (dy2J),,Defects in Lama2 are a cause of murine muscular dystrophy (dy2J),,,UniProt,Disease
