:START_ID(Protein),:END_ID(Disease),association_note,association_source,:TYPE
6310,SYN:hyt-hyt-hypothyroidism-an-autosomal-recessive-fetal-onset-severe-hypothyroidism-,"Defects in Tshr are the cause of hyt/hyt hypothyroidism, an autosomal recessive, fetal-onset, severe hypothyroidism related to TSH hyporesponsiveness and associated with elevated TSH",UniProt,ASSOCIATED_WITH
6357,SYN:muscle-rigidity-tremors-myoclonic-jerks-pronounced-startle-reaction-abnormal-gai,"Defects in Glrb cause the spastic condition which is characterized by muscle rigidity, tremors, myoclonic jerks, pronounced startle reaction, abnormal gait and impaired righting ability (PubMed:7920630). Neurons from the ventral horn of the spinal cord display reduced inhibitory postsynaptic currents (PubMed:12809985). Likewise, hypoglossal neurons display a dramatic reduction in the frequency and amplitude of postsynaptic inhibitory currents (PubMed:16672662)",UniProt,ASSOCIATED_WITH
6380,SYN:the-weaver-wv-phenotype,"Defects in Kcnj6 are the cause of the weaver (wv) phenotype. Homozygous animals suffer from severe ataxia that is obvious by about the second postnatal week. The cerebellum of these animals is drastically reduced in size due to depletion of the major cell type of cerebellum, the granule cell neuron. Heterozygous animals are not ataxic but have an intermediate number of surviving granule cells. Male homozygotes are sterile, because of complete failure of sperm production. Both hetero- and homozygous animals undergo sporadic tonic-clonic seizures",UniProt,ASSOCIATED_WITH
6420,SYN:microcytic-anemia-mk,Defects in Slc11a2 are the cause of microcytic anemia (mk). Homozygous mk/mk mice have hypochromic microcytic anemia due to severe defects in intestinal iron absorption and erythroid iron utilization,UniProt,ASSOCIATED_WITH
6424,SYN:tyrosinemia-type-iii,Defects in Hpd are the cause of tyrosinemia type III,UniProt,ASSOCIATED_WITH
6488,SYN:maturity-onset-obesity-insulin-resistance-and-sensory-deficits,"Defects in Tub are the cause of maturity-onset obesity, insulin resistance and sensory deficits",UniProt,ASSOCIATED_WITH
6516,SYN:autosomal-dominant-cataract,Defects in Mip are a cause of autosomal dominant cataract. The cataract Fraser mutation (Cat-Fr or Shrivelled) is a transposon-induced splicing error that substitutes a long terminal repeat sequence for the C-terminus of Mip. The lens opacity mutation (LOP) is an AA substitution that inhibits targeting of Mip to the cell-membrane,UniProt,ASSOCIATED_WITH
6521,SYN:the-staggerer-sg-mutant-phenotype-which-is-characterized-by-disturbance-of-purki,"Defects in Rora are the cause of the staggerer (SG) mutant phenotype which is characterized by disturbance of Purkinje cell development and immune system functioning. This phenotype exhibits lower body weight, reduced adiposity, decreased plasma cholesterol, triglyceride and apolipoprotein CIII levels, and is resistant to diet-induced obesity. Also has abnormal circadian rhythms",UniProt,ASSOCIATED_WITH
6629,SYN:the-vibrator-phenotype-which-is-characterized-by-early-onset-progressive-action-,"Defects in Pitpna are the cause of the vibrator phenotype which is characterized by early-onset progressive action tremor, degeneration of brain stem and spinal cord neurons, and juvenile death. The mutation is due to the insertion of an intracisternal A particle retrotransposon in intron 4 which results in a 5-fold reduction in protein levels",UniProt,ASSOCIATED_WITH
6660,SYN:the-twitcher-phenotype-an-autosomal-recessive-leukodystrophy-similar-to-the-huma,Defects in Galc are the cause of the 'twitcher' phenotype; an autosomal recessive leukodystrophy similar to the human disease (Krabbe disease). This deficiency results in the insufficient catabolism of several galactolipids that are important in the production of normal myelin,UniProt,ASSOCIATED_WITH
6715,SYN:this-protein-is-the-major-protein-stored-in-the-storage-bodies-of-animals-or-hum,This protein is the major protein stored in the storage bodies of animals or humans affected with ceroid lipofuscinosis (Batten disease),UniProt,ASSOCIATED_WITH
6716,SYN:this-protein-is-the-major-protein-stored-in-the-storage-bodies-of-animals-or-hum,This protein is the major protein stored in the storage bodies of animals or humans affected with ceroid lipofuscinosis (Batten disease),UniProt,ASSOCIATED_WITH
6729,SYN:congenital-progressive-hydronephrosis-cph,"Defects in Aqp2 are a cause of congenital progressive hydronephrosis (cph). Homozygous mice appear grossly normal at birth, but grow slowly, and 90% die between 2 and 4 weeks after birth. They display symptoms reminiscent of diabetes insipidus, with excessive water drinking (polydipsia), excessive urine excretion (polyuria), and persistent hypotonic urine. When older than 14 days, they nearly always display severe bilateral hydronephrosis resulting from impaired downward urine transport, in spite of the absence of physical blockage of the urinary tract. Surviving adults have a shortened lifespan and die at the latest at an age of 10 months. They display reduced fertility or are infertile",UniProt,ASSOCIATED_WITH
6744,SYN:severe-fetal-anemia-and-of-perinatal-lethality-due-to-malformation-of-the-diaphr,Absence of Dnase2 is a cause of severe fetal anemia and of perinatal lethality due to malformation of the diaphragm,UniProt,ASSOCIATED_WITH
6746,SYN:the-cataractous-mouse-mutant-with-total-opacity-of-lens-3-to3,"Defects in Lim2 are the cause of the cataractous mouse mutant with total opacity of lens 3 (To3). Mice heterozygous or homozygous for the To3 mutation have total opacity of the lens with a dense cataract. In addition, the To3/To3 homozygotes exhibit microphthalmia, abnormally small eyes",UniProt,ASSOCIATED_WITH
6819,SYN:the-uw-dbr-phenotype-that-results-in-loss-of-nearly-all-pigmentation-in-the-homo,Defects in Slc45a2 are the cause of the UW-dbr phenotype that results in loss of nearly all pigmentation in the homozygous state,UniProt,ASSOCIATED_WITH
6887,SYN:hermansky-pudlak-like-syndrome-a-syndrome-characterized-by-hypopigmented-eyes-an,"Defects in Hps5 are the cause of Hermansky-Pudlak-like syndrome, a syndrome characterized by hypopigmented eyes and coat, melanosomes greatly reduced in number and morphologically bizarre, kidney proximal tubules secreting lysosomal enzymes into urine at greatly reduced rates, platelet dense granules deficient in critical components, such as serotonin and adenine nucleotides, leading to functionally abnormal platelets and prolonged bleeding times, and mast cell granules undergoing unregulated 'kiss-and-run' fusion at the plasma membrane",UniProt,ASSOCIATED_WITH
6891,SYN:the-belted-bt-phenotype,Defects in Adamts20 are the cause of the belted (bt) phenotype. It is a pigmental defect which occurs as a result of a defect in melanocyte development,UniProt,ASSOCIATED_WITH
6919,SYN:the-dysmyelinating-diseases-jimpy-and-rumpshaker-rsh,Defects in Plp1 are the cause of the dysmyelinating diseases Jimpy and Rumpshaker (rsh),UniProt,ASSOCIATED_WITH
6920,SYN:eif3e-serves-as-a-site-for-viral-integration-of-mouse-mammary-tumor-virus-mmtv-i,EIF3E serves as a site for viral integration of mouse mammary tumor virus (MMTV) in mammary tumors. MMTV integration into EIF3E can result in EIF3E truncation and expression of chimeric RNA species which terminate at a cryptic transcription stop signal in the reverse U3 portion of the MMTV long terminal repeat. This causes deregulation of the normal control of mammary epithelial cell growth,UniProt,ASSOCIATED_WITH
7126,SYN:a-condition-known-as-small-eye-sey-which-results-in-the-complete-lack-of-eyes-an,Defects in Pax6 are the cause of a condition known as small eye (Sey) which results in the complete lack of eyes and nasal primordia,UniProt,ASSOCIATED_WITH
7220,SYN:a-number-of-skeletal-overgrowth-phenotypes-longjohn-lgj-longjohn-2j-lgj-2j-and-s,"Defects in Npr3 are the cause of a number of skeletal-overgrowth phenotypes, Longjohn (Lgj), Longjohn-2J (Lgj-2J) and Strigosus (Stri). These are all recessive conditions characterized by an elongated body, thoracic kyphosis, arachnodactyly, and sacral and/or tail kinks, but no significant changes in craniofacial structures (PubMed:10468599)",UniProt,ASSOCIATED_WITH
7247,SYN:tattered-td-which-is-an-x-linked-semidominant-mouse-mutation-associated-with-pre,"Defects in Ebp are a cause of 'Tattered' (Td) which is an X-linked, semidominant mouse mutation associated with prenatal male lethality. Heterozygous females are small and at 4 to 5 days of age develop patches of hyperkeratotic skin where no hair grows, resulting in a striping of the coat in adults. Craniofacial anomalies and twisted toes have also been observed in some affected females",UniProt,ASSOCIATED_WITH
7294,SYN:activation-contributes-to-progression-of-mouse-t-cell-lymphomas-pubmed-9034327,Activation contributes to progression of mouse T-cell lymphomas (PubMed:9034327),UniProt,ASSOCIATED_WITH
7405,SYN:the-nob-no-b-wave-phenotype-which-is-characterized-by-a-decreased-sensitivity-to,Defects in Nyx are the cause of the nob (no b-wave) phenotype which is characterized by a decreased sensitivity to light and an absence of the rod b-wave in electroretinograms. An 85-bp deletion in exon 3 results in the loss of 288 residues from the C-terminus of the protein,UniProt,ASSOCIATED_WITH
7435,SYN:mice-carrying-an-autosomal-recessive-mutation-designated-paucity-of-lymph-node-t,"Mice carrying an autosomal recessive mutation designated paucity of lymph node T-cells (plt) show dramatically reduced numbers of T-cells in lymph nodes, Peyer patches, and the white pulp of the spleen. Plt seems to correspond to Scya21b",UniProt,ASSOCIATED_WITH
7473,SYN:severe-combined-immune-deficiency-scid-which-is-characterized-by-a-lack-of-matur,Defects in Prkdc are the cause of severe combined immune deficiency (SCID) which is characterized by a lack of mature functional lymphocytes and a high susceptibility to lethal opportunistic infections if not chronically treated with antibiotics. The lack of B- and T-cell immunity resembles severe combined immunodeficiency syndrome in human infants,UniProt,ASSOCIATED_WITH
7522,SYN:beige-bg-an-autosomal-recessive-disorder-characterized-by-hypopigmentation-bleed,"Defects in Lyst are the cause of beige (bg), an autosomal recessive disorder characterized by hypopigmentation, bleeding, immune cell dysfunction, abnormal intracellular transport to and from the lysosome, and giant inclusion bodies in a variety of cell types",UniProt,ASSOCIATED_WITH
7540,SYN:a-delayed-onset-recessive-neurological-disorder-seen-in-tottering-tg-mutants-res,"Defects in Cacna1a are the cause of a delayed-onset, recessive neurological disorder seen in tottering (tg) mutants, resulting in ataxia, motor seizures and behavioral absence seizures resembling petit mal epilepsy (or absence epilepsy) in humans. There are two more alleles, leaner (tg(lA)), that is characterized by severe ataxia and frequent death past weaning, but no motor seizures; and rolling Nagoya (tg(rol)), that presents an intermediary phenotype, the ataxia being somewhat more severe that with tg, but without motors seizures. Selective degeneration of cerebellar Purkinje cells has been shown for all these types of mutants. Selective degeneration of cerebellar Purkinje cells has been shown for all these types of mutants",UniProt,ASSOCIATED_WITH
7564,SYN:the-shaker-1-sh-1-phenotype-which-affects-only-the-inner-ear,"Defects in Myo7a are the cause of the shaker-1 (sh-1) phenotype which affects only the inner ear. Sh-1 homozygote mutants show hyperactivity, head tossing and circling due to vestibular dysfunction, together with typical neuroepithelial-type cochlear defects involving dysfunction and progressive degeneration of the organ of Corti",UniProt,ASSOCIATED_WITH
7591,SYN:circling-behavior-and-deafness-due-to-gross-morphological-abnormalities-of-the-i,"A spontaneous mutation leading to decreased Eya1 expression gives rise to the Eya1-bor phenotype. It is characterized by circling behavior and deafness, due to gross morphological abnormalities of the inner ear, and dysmorphic or missing kidneys. This autosomal recessive trait resembles human branchio-oto-renal (BOR) syndrome",UniProt,ASSOCIATED_WITH
7654,SYN:wabbler-lethal-wl-phenotype,Defects in Atp8a2 are the cause of Wabbler-lethal (wl) phenotype. Homozygotes show severe neurological annormalities that include ataxia and body tremors linked to progressive axonal degeneration in several areas of the nervous system,UniProt,ASSOCIATED_WITH
7668,SYN:the-dwarf-dw-phenotype-which-interrupts-the-normal-development-of-the-anterior-p,"Defects in Pou1f1 are the cause of the dwarf (dw) phenotype which interrupts the normal development of the anterior pituitary gland, resulting in the loss of expression of growth hormone, prolactin and thyroid-stimulating hormone, and hypoplasia of their respective cell types",UniProt,ASSOCIATED_WITH
7673,SYN:defects-in-tcf7-may-allow-the-formation-of-epithelial-tumors,Defects in Tcf7 may allow the formation of epithelial tumors,UniProt,ASSOCIATED_WITH
7676,SYN:the-fat-phenotype,Defects in Cpe are the cause of the fat phenotype. Mice homozygous for the fat mutation develop obesity and hyperglycemia that can be suppressed by treatment with exogenous insulin,UniProt,ASSOCIATED_WITH
7756,SYN:muscular-dysgenesis-mdg-a-lethal-autosomal-recessive-disorder-in-which-there-is-,"Defects in Cacna1s are the cause of muscular dysgenesis (MDG), a lethal autosomal recessive disorder in which there is total lack of excitation-contraction coupling in homozygotes, and which results in complete skeletal muscle paralysis. A single nucleotide deletion yields a protein with an altered and truncated C-terminus",UniProt,ASSOCIATED_WITH
7779,SYN:mice-with-an-runx1-lacking-the-dna-binding-region-are-found-to-die-between-embry,Mice with an Runx1 lacking the DNA-binding region are found to die between embryonic days 11.5 to 12.5 due to hemorrhaging in the central nervous system. This hemorrhaging is preceded by necrosis and hematopoiesis is blocked (PubMed:8622955),UniProt,ASSOCIATED_WITH
7859,SYN:the-neuronal-heterotopia-observed-in-heco-mice,"Defects in Eml1 are the cause of the neuronal heterotopia observed in HeCo mice. These mice display heterotopic neurons in the rostro-medial part of the neocortex, together with epilepsy and subtle learning deficits in adults. At 17 dpc both Tbr1(+) and Cux1(+) neurons contribute to the heterotopia. Three days after birth, most Tbr1(+) have reached their final destination, but many Cux1(+) neurons remain in the heterotopia and fail to reach cortical layers II to IV, contrary to the situation in wild-type. Besides, progenitor cells continue to proliferate, resulting in large numbers of abnormally positioned actively proliferating cells during both early and late stages of corticogenesis. In HeCo mice, insertion of a retrotransposon into Eml1 leads to the absence of full-length Eml1 transcripts",UniProt,ASSOCIATED_WITH
7937,SYN:microphthalmia-mi-a-condition-characterized-by-loss-of-pigmentation-reduced-eye-,"Defects in Mitf are the cause of microphthalmia (mi), a condition characterized by loss of pigmentation; reduced eye size; failure of secondary bone resorption; reduced numbers of mast cells; early onset of deafness, and which gives rise to a number of different phenotypes. Among them, microphthalmia-eyeless white (mi-ew) has a normal appearance at the heterozygous state, but shows white coat; eyes almost absent and eyelids never open at homozygosity. Microphthalmia-black and white spot (mi-bws) is normal at heterozygosity, and presents white spots and black eyes at homozygous state. Microphthalmia-white (mi-wh) has reduced coat color and eye pigmentation; spots on toes, tail and belly; inner ear defects at heterozygosity, and at homozygosity shows white coat; eyes small and inner iris slightly pigmented; spinal ganglia, adrenal medulla and dermis smaller than normal, and inner ear defects. Microphthalmia-vitiligo (mi-vi) has normal phenotype at heterozygosity, but shows gradual depigmentation of coat, skin and eyes; and retinal degeneration at homozygosity. Microphthalmia-spotted (mi-sp) shows normal phenotype; at homozygosity, however, tyrosinase activity in skin is reduced. Microphthalmia-defective irism (mi-di) has reduced retinal pigmentation at heterozygosity and shows white coat; eyes of reduced sized and possible mild osteoporosis at homozygosity. Microphthalmia-cloudy eyed (mi-ce) has a normal appearance at the heterozygous state, but shows white coat; eyes of reduced size and unpigmented at homozygosity. Microphthalmia-red-eyed white (mi-rw) has a normal appearance at the homozygous state, but shows white coat with one or more pigmented spots around the head/and or tail; eyes are small and red at heterozygosity. Microphthalmia-black-eyed white (mi-bw) shows a white coat but normal sized eyes which reamin black at homozygosity",UniProt,ASSOCIATED_WITH
8270,SYN:defects-in-fscn2-lead-to-hair-cell-degeneration-in-the-inner-ear-and-are-a-key-c,"Defects in Fscn2 lead to hair-cell degeneration in the inner ear and are a key contributor to the early-onset, age-related hearing loss (prebycusis) phenotype when in combination with waltzer cadherin 23 mutant",UniProt,ASSOCIATED_WITH
8472,SYN:ichthyosis-bullosa-of-siemens-ibs,Defects in Krt2 are a cause of ichthyosis bullosa of siemens (IBS). IBS is a rare autosomal dominant disorder displaying a type of epidermolytic hyperkeratosis characterized by extensive blistering from birth. Hyperkeratoses and shedding of the outer layers of the epidermis (molting) are observed in later weeks,UniProt,ASSOCIATED_WITH
8608,SYN:combined-lipase-deficiency-cld,"Defects in Lmf1 are the cause of combined lipase deficiency (cld). Cld is characterized by severe hypertriglyceridemia with accumulation of chylomicrons that gradually pack the lumina of capillaries and sinusoids. Severe hypertriglyceridemia causes an increase in blood viscosity, ischemia, and cyanosis, and the inability of tissues to access circulating triglycerides results in starvation, poor thermoregulation, and death 2 to 3 days after birth. The disorder is caused by a decrease in the activity of lipoprotein lipase (Lpl) and the related hepatic lipase (Lipc), caused by impaired maturation of nascent Lpl and hepatic lipase polypeptides in the endoplasmic reticulum",UniProt,ASSOCIATED_WITH
8924,SYN:glioblastoma-genesis,"Plays an important role in the tumorigenicity of glioblastoma cells. TET1-mediated production of 5hmC acts as a recruitment signal for the CHTOP-methylosome complex to selective sites on the chromosome, where it methylates H4R3 and activates the transcription of genes involved in glioblastoma genesis",UniProt,ASSOCIATED_WITH
9158,SYN:the-curly-whiskers-phenotype-cw,"Defects in HEPHL1 are the cause of the curly whiskers phenotype (cw). Curly whiskers mice carry a recessive mutation that alters splicing and causes omission of exon 11 from the mature transcript. The cw phenotype is characterized by kinky, brittle vibrissae",UniProt,ASSOCIATED_WITH
9193,SYN:rough-coat-rc-phenotype-an-autosomal-recessive-mutation-arose-spontaneously-in-c,"Defects in Mpzl3 are the cause of rough coat (rc) phenotype, an autosomal-recessive mutation, arose spontaneously in C57BL/6J mice. Rc mice develop severe skin and hair abnormalities, including cyclic and progressive hair loss and sebaceous gland hypertrophy",UniProt,ASSOCIATED_WITH
9286,SYN:the-hurry-scurry-hscy-phenotype-which-is-characterized-by-rapid-circling-behavio,"Defects in Lhfpl5 are the cause of the hurry-scurry (hscy) phenotype which is characterized by rapid circling behavior, frequent shaking of head from side to side, deafness and vestibular dysfunction",UniProt,ASSOCIATED_WITH
9318,SYN:the-runty-jerky-sterile-phenotype-rjs-also-known-as-the-juvenile-development-and,"Defects in Herc2 are the cause of the runty, jerky, sterile phenotype (rjs), also known as the juvenile development and fertility phenotype (jfd2), which is characterized by reduced size, jerky gait, fertility problems including spermatocyte and oocyte abnormalities, defective maternal behavior and reduced lifespan with juvenile lethality",UniProt,ASSOCIATED_WITH
9373,SYN:the-pirouette-pi-phenotype-which-is-characterized-by-vestibular-defects-and-prof,Defects in Grxcr1 are the cause of the pirouette (pi) phenotype which is characterized by vestibular defects and profound deafness with affected mice displaying abnormally thin and slightly shortened sterocilia,UniProt,ASSOCIATED_WITH
9437,SYN:increased-expression-of-zc3h12a-is-associated-with-ischemic-heart-disease-pubmed,Increased expression of ZC3H12A is associated with ischemic heart disease (PubMed:16574901),UniProt,ASSOCIATED_WITH
9486,SYN:adrenocortical-dysplasia-acd,"Defects in Acd are the cause of adrenocortical dysplasia (ACD). ACD is a spontaneous autosomal recessive mouse mutant resulting from spontaneous splicing mutation of acd. ACD mice are characterized by developmental defects in organs derived from the urogenital ridge, reduced survival, poor growth, skin hyperpigmentation and adrenal insufficiency. Forty percent of the mutants died within 24 hours. Analysis of 14.5 dpc to 17.5 dpc embryos revealed reduced formation of caudal structure as well as limb defects",UniProt,ASSOCIATED_WITH
9558,SYN:the-waved-3-phenotype-wa3,"A recessive 14-bp deletion, which gives rise to a truncated protein, is the cause of the waved 3 phenotype (wa3). Wa3 mice have open eyes at birth, a wavy coat, and abnormalities of the heart and skin. They develop focal cardiac necrosis at an early age which progresses to fatal dilated cardiomyopathy (PubMed:15661756). Higher expression of pro-inflammatory cytokines is observed in the heart of wa3 mice compared to controls (PubMed:28069640)",UniProt,ASSOCIATED_WITH
9676,SYN:cone-rod-dysfunction,"Defects in Cacna2d4 are a cause of cone-rod dysfunction. Mice display affected retinal ribbon-type synapses. The retinopathy is accompanied by a substantial loss in the activities of the second-order neurons. Rod photoreceptor responses are maintained with reduced amplitude, whereas cone activities are absent",UniProt,ASSOCIATED_WITH
9692,SYN:primary-ciliary-dyskinesia-only-pcdo-phenotype,"Defects in Spag17 are the cause of primary ciliary dyskinesia only (Pcdo) phenotype. Mice are generally viable to adulthood but have a significantly shortened lifespan, with chronic morbidity. Show neonatal progressive hydrocephalus, accumulation of mucus in the respiratory passages and male infertility",UniProt,ASSOCIATED_WITH
9706,SYN:wobbler-phenotype-wr,Defects in Vps54 are the cause of wobbler phenotype (wr). Wr is autosomal recessive and is a spontaneous mutation discovered almost 50 years ago. It causes spinal muscular atrophy and defective spermiogenesis,UniProt,ASSOCIATED_WITH
9812,SYN:the-truncate-tc-phenotype,"Defects in Noto are the cause of the truncate (tc) phenotype. Truncate (tc) is a recessive mutation that affects the development of the caudal notochord. Mice homozygous for tc are viable but viability is reduced, which is attributed at least in part to spinal injury in the sacral and lower lumbar region",UniProt,ASSOCIATED_WITH
9835,SYN:the-reduced-pigmentation-rp-mutation-phenotype-a-mouse-model-for-human-hermansky,"Defects in Bloc1s3 are the cause of the reduced pigmentation (rp) mutation phenotype, a mouse model for human Hermansky-Pudlak syndrome (HPS). Rp mice are characterized by abnormal melanosomes and display altered expression levels of the proteins of the BLOC-1 complex",UniProt,ASSOCIATED_WITH
9898,SYN:activation-protects-mice-against-cholestasis-development-of-chronical-intestinal,"Activation protects mice against cholestasis, development of chronical intestinal inflammation and fibrosis. May suppress intestinal tumorigenesis",UniProt,ASSOCIATED_WITH
9914,SYN:murine-muscular-dystrophy-dy2j,Defects in Lama2 are a cause of murine muscular dystrophy (dy2J),UniProt,ASSOCIATED_WITH
9923,SYN:the-silver-coat-color-which-seems-to-be-due-to-premature-death-of-pigment-cells-,Defects in Silver mutants are the cause of the silver coat color which seems to be due to premature death of pigment cells during the hair cycle,UniProt,ASSOCIATED_WITH
9978,SYN:the-autosomal-recessive-reeler-rl-phenotype-which-is-characterized-by-impaired-m,"Defects in Reln are the cause of the autosomal recessive reeler (rl) phenotype which is characterized by impaired motor coordination, tremors and ataxia. Neurons in affected mice fail to reach their correct locations in the developing brain, disrupting the organization of the cerebellar and cerebral cortices and other laminated regions",UniProt,ASSOCIATED_WITH
10021,SYN:glutathionuria-severe-growth-failure-reduced-life-spans-and-infertility,"Defects in Ggt1 are a cause of glutathionuria, severe growth failure, reduced life spans and infertility. Ggt1-deficient mice have multiple metabolic abnormalities and are dwarf. Some abnormalities can be ameliorated by N-acetylcysteine treatment",UniProt,ASSOCIATED_WITH
10035,SYN:meis1-serves-as-a-site-of-viral-integration-in-15-of-the-tumors-arising-in-bxh-2,Meis1 serves as a site of viral integration in 15% of the tumors arising in BXH-2 mice that develop myeloid leukemia as a result of the expression of an ecotropic murine leukemia virus,UniProt,ASSOCIATED_WITH
10134,SYN:slow-wave-epilepsy-swe-phenotype-pubmed-9335342,"Defects in Slc9a1 is the cause of slow-wave epilepsy (swe) phenotype (PubMed:9335342). Mutant mice display slow-wave epilepsy, with a neurological syndrome including ataxia and a unique epilepsy phenotype consisting of 3/sec absence and tonic-clonic seizures. Mutants show selective neuronal death in the cerebellum and brainstem. Mice display also several other significant abnormalities in growth and development, and less than half of the mutant homozygous animals survived to weaning. Most died by 35-40 days (PubMed:9335342)",UniProt,ASSOCIATED_WITH
10170,SYN:skeletal-defects-caused-by-abnormalities-in-the-cartilage-of-limbs-ribs-mandible,"Defects in Col11a1 are associated with chondrodysplasia, an autosomal recessive disease characterized by skeletal defects caused by abnormalities in the cartilage of limbs, ribs, mandibles and trachea",UniProt,ASSOCIATED_WITH
10176,SYN:cartilage-matrix-deficiency-cmd,"Defects in Acan are the cause of cartilage matrix deficiency (CMD). CMD is an autosomal recessive syndrome characterized by cleft palate, short limbs, tail and snout. Mutation in strain CMD causes absence of aggrecan by truncation of the protein (mutation in the G1 domain)",UniProt,ASSOCIATED_WITH
10199,SYN:recessive-bilateral-polycystic-kidney-disease-pkd-with-collecting-duct-and-tubul,"Defects in Ift88 are the cause of recessive bilateral polycystic kidney disease (PKD) with collecting duct and tubule ectasia, and a liver lesion involving biliary dysplasia and/or portal fibrosis",UniProt,ASSOCIATED_WITH
10210,SYN:ocular-retardation-or-j-a-mouse-disease-characterized-by-microphthalmia-progress,"Defects in Vsx2 are the cause of ocular retardation (OR(J)), a mouse disease characterized by microphthalmia, progressive destruction of the retina, and absence of the optic nerve. The OR(J) mutation is due to an OCHR (STOP) mutation",UniProt,ASSOCIATED_WITH
10265,SYN:the-nude-severe-combined-immunodeficiency-scid-phenotype-which-is-characterized-,"Defects in FOXN1 are the cause of the nude/severe combined immunodeficiency (SCID) phenotype which is characterized by athymia and hairlessness. Mice develop largely normal hair follicles and produce hair shafts. However, presumably because of a lack of certain hair keratins, the hair shafts that are generated twist and coil in the hair follicle infundibulum, which becomes dilated. Since hair shafts fail to penetrate the epidermis, macroscopic nudity results and generates the grossly misleading impression that nude mice are hairless",UniProt,ASSOCIATED_WITH
10277,SYN:several-mutations-result-in-developmental-defects-of-cranofacial-and-limb-struct,Several mutations result in developmental defects of cranofacial and limb structures. In particular the add (anterior digit-pattern deformity) and pdn (polydactyly Nagoya) alleles,UniProt,ASSOCIATED_WITH
10285,SYN:the-lurcher-phenotype,Defects in Grid2 are the cause of the Lurcher phenotype. Heterozygous animals display a characteristic swaying of the hind quarters and jerky up and down movements following cerebellar Purkinje cell degeneration during postnatal development. Homozygous animals die shortly after birth because of a massive loss of midbrain and hindbrain neurons during late embryogenesis,UniProt,ASSOCIATED_WITH
10290,SYN:a-number-of-pleiotropic-effects-including-structural-abnormalities-of-epithelial,"Defects in Hr are the cause of a number of pleiotropic effects including structural abnormalities of epithelial cells in the hair follicles, hair loss towards the end of the first hair growth cycle, and the failure of subsequent hair growth cycles. Older mice carrying a hr mutation have been reported to possess altered ratios of T-cell-dependent B-cell responses. Mice homozygous for hr mutation are uniquely sensitive to UV and chemically induced skin tumors",UniProt,ASSOCIATED_WITH
10344,SYN:decreases-benign-tumor-development-and-malignant-progression,Decreases benign tumor development and malignant progression,UniProt,ASSOCIATED_WITH
10346,SYN:aly-alymphoplasia-an-autosomal-recessive-mutation-which-induces-total-aplasia-of,"Absence of Madcam1 in the spleen has been found in aly/aly mice, but normal expression is found in intestinal venules. This aberrant expression is a secondary defect and not the direct cause of aly alymphoplasia, an autosomal recessive mutation which induces total aplasia of lymph nodes and Peyer patches",UniProt,ASSOCIATED_WITH
10395,SYN:hypopigmentation-of-the-eyes-skin-and-fur,"Defects in Oca2 are a cause of hypopigmentation of the eyes, skin, and fur. The protein is missing or altered in six independent mutant alleles of the OCA2 locus, suggesting that disruption of this gene results in hypopigmentation phenotype that defines mutant OCA2 alleles",UniProt,ASSOCIATED_WITH
10491,SYN:the-smallie-sli-phenotype,"Defects in Ddr2 are the cause of the smallie (sli) phenotype. Smallie mice show distinct dwarfing, with reduced body mass and reduced bone mineral content. Mice also have mild craniofacial deformities, such as protuberant eyes and snub noses. Smallie mice have a reduced life span, with about half of them dying within 6 months. Matings between male and female smallie mice do not yield any offspring. The levels of circulating steroid hormones remain at a level corresponding to prepubertal wild-type mice. Adult testes exhibit much reduced numbers of spermatids with atrophy of spermatogonia, Sertoli and Leydig cells. Ovaries show an absence of corpora lutea",UniProt,ASSOCIATED_WITH
10496,SYN:may-contribute-to-the-severity-of-spinal-muscular-atrophy-by-increasing-spinal-m,May contribute to the severity of spinal muscular atrophy by increasing spinal motor neurons degeneration,UniProt,ASSOCIATED_WITH
10517,SYN:hypodactyly-hd-a-condition-characterized-by-profound-deficiency-of-digital-arch-,"Defects in Hoxa13 are the cause of hypodactyly (Hd), a condition characterized by profound deficiency of digital arch structures",UniProt,ASSOCIATED_WITH
10525,SYN:lethal-wasting-lew-phenotype-a-mice-mutant-strain,"Defects in Vamp1 are the cause of lethal-wasting (lew) phenotype, a mice mutant strain. The lew mutant phenotype is inherited in an autosomal recessive manner and manifests with neurological signs. Lew animals are characterized by a general lack of movement and wasting, eventually leading to death before weaning. The affected animals die near postnatal day 15 (P15). By P10, the mutants are noticeably immobile and lay on their side. Before this stage, mutants can be identified by a failure to attempt to right themselves. In earlier perinatal stages, the mutants are of normal size and difficult to discern from their normal littermates. The affected mice can move their limbs although not in any purposeful manner. No protein is detectable in homozygous mutant animals",UniProt,ASSOCIATED_WITH
10582,SYN:lethal-yellow-mutation-a-y-a-dominant-allele-that-cause-embryonic-lethality-when,"Defects in Raly are the cause of lethal yellow mutation (A(y)), a dominant allele that cause embryonic lethality when homozygous, and pleiotropic effects when heterozygous, including yellow pelage, obesity, non-insulin dependent diabetes and increased tumor susceptibility. A(y) is due to a 170 kb deletion that removes all but the promoter and non-coding first exon of Raly and links them to the ASIP/Agouti gene",UniProt,ASSOCIATED_WITH
